State,Leg_Exec,Leg_H,Leg_S,Exec_Election_Dt
Alabama,R,R,R,10-Apr-17
Alaska,R,R,R,3-Dec-18
American Samoa,I,I,I,3-Jan-13
Arizona,R,R,R,5-Jan-15
Arkansas,R,R,R,13-Jan-15
California,D,D,D,2019
Colorado,D,D,D,2019
Connecticut,D,D,D,2019
Delaware,D,D,D,17-Jan-17
Florida,R,R,R,8-Jan-19
Georgia,R,R,R,14-Jan-19
Guam,D,R,R,7-Jan-19
Hawaii,D,D,D,1-Dec-14
Idaho,R,R,R,2019
Illinois,D,D,D,2019
Indiana,R,R,R,9-Jan-17
Iowa,R,R,R,24-May-17
Kansas,D,R,R,14-Jan-19
Kentucky,D,R,R,10-Dec-19
Louisiana,D,R,R,11-Jan-16
Maine,D,D,D,2-Jan-19
Maryland,R,D,D,21-Jan-15
Massachusetts,R,D,D,8-Jan-15
Michigan,D,R,R,1-Jan-19
Minnesota,D,R,D,7-Jan-19
Mississippi,R,R,R,14-Jan-20
Missouri,R,R,R,1-Jun-18
Montana,D,R,R,7-Jan-13
Nebraska,R,R,R,8-Jan-15
Nevada,D,D,D,2019
New Hampshire,R,D,D,5-Jan-17
New Jersey,D,D,D,2018
New Mexico,D,D,D,1-Jan-19
New York,D,D,D,1-Jan-11
North Carolina,D,R,R,1-Jan-17
North Dakota,R,R,R,15-Dec-16
Ohio,R,R,R,14-Jan-19
Oklahoma,R,R,R,14-Jan-19
Oregon,D,D,D,2015
Pennsylvania,D,R,R,20-Jan-15
Rhode Island,D,D,D,6-Jan-15
South Carolina,R,R,R,24-Jan-17
South Dakota,R,R,R,2019
Tennessee,R,R,R,15-Jan-19
Texas,R,R,R,2015
the Northern Mariana Islands,R,R,R,2015
the U.S. Virgin Islands,D,D,D,2019
Utah,R,R,R,11-Aug-09
Vermont,R,D,D,5-Jan-17
Virginia,D,R,R,10-Jan-18
Washington,D,D,D,16-Jan-13
West Virginia,R,R,R,16-Jan-17
Wisconsin,D,R,R,2019
Wyoming,R,R,R,2019