State,Classification,ISO,ANSI-US,Sort-Order,USPS,USCG,GPO,AP
 Alabama,State,US-AL,AL,1,AL,AL,Ala.,Ala.
 Alaska,State,US-AK,AK,2,AK,AK,Alaska,Alaska
 Arizona,State,US-AZ,AZ,4,AZ,AZ,Ariz.,Ariz.
 Arkansas,State,US-AR,AR,5,AR,AR,Ark.,Ark.
 California,State,US-CA,CA,6,CA,CF,Calif.,Calif.
 Colorado,State,US-CO,CO,8,CO,CL,Colo.,Colo.
 Connecticut,State,US-CT,CT,9,CT,CT,Conn.,Conn.
 Delaware,State,US-DE,DE,10,DE,DL,Del.,Del.
 District of Columbia,Federal district,US-DC,DC,11,DC,DC,D.C.,D.C.
 Florida,State,US-FL,FL,12,FL,FL,Fla.,Fla.
 Georgia,State,US-GA,GA,13,GA,GA,Ga.,Ga.
 Hawaii,State,US-HI,HI,15,HI,HA,Hawaii,Hawaii
 Idaho,State,US-ID,ID,16,ID,ID,Idaho,Idaho
 Illinois,State,US-IL,IL,17,IL,IL,Ill.,Ill.
 Indiana,State,US-IN,IN,18,IN,IN,Ind.,Ind.
 Iowa,State,US-IA,IA,19,IA,IA,Iowa,Iowa
 Kansas,State,US-KS,KS,20,KS,KA,Kans.,Kan.
 Kentucky,State,US-KY,KY,21,KY,KY,Ky.,Ky.
 Louisiana,State,US-LA,LA,22,LA,LA,La.,La.
 Maine,State,US-ME,ME,23,ME,ME,Maine,Maine
 Maryland,State,US-MD,MD,24,MD,MD,Md.,Md.
 Massachusetts,State,US-MA,MA,25,MA,MS,Mass.,Mass.
 Michigan,State,US-MI,MI,26,MI,MC,Mich.,Mich.
 Minnesota,State,US-MN,MN,27,MN,MN,Minn.,Minn.
 Mississippi,State,US-MS,MS,28,MS,MI,Miss.,Miss.
 Missouri,State,US-MO,MO,29,MO,MO,Mo.,Mo.
 Montana,State,US-MT,MT,30,MT,MT,Mont.,Mont.
 Nebraska,State,US-NE,NE,31,NE,NB,Nebr.,Neb.
 Nevada,State,US-NV,NV,32,NV,NV,Nev.,Nev.
 New Hampshire,State,US-NH,NH,33,NH,NH,N.H.,N.H.
 New Jersey,State,US-NJ,NJ,34,NJ,NJ,N.J.,N.J.
 New Mexico,State,US-NM,NM,35,NM,NM,N. Mex.,N.M.
 New York,State,US-NY,NY,36,NY,NY,N.Y.,N.Y.
 North Carolina,State,US-NC,NC,37,NC,NC,N.C.,N.C.
 North Dakota,State,US-ND,ND,38,ND,ND,N. Dak.,N.D.
 Ohio,State,US-OH,OH,39,OH,OH,Ohio,Ohio
 Oklahoma,State,US-OK,OK,40,OK,OK,Okla.,Okla.
 Oregon,State,US-OR,OR,41,OR,OR,Oreg.,Ore.
 Pennsylvania,State,US-PA,PA,42,PA,PA,Pa.,Pa.
 Rhode Island,State,US-RI,RI,44,RI,RI,R.I.,R.I.
 South Carolina,State,US-SC,SC,45,SC,SC,S.C.,S.C.
 South Dakota,State,US-SD,SD,46,SD,SD,S. Dak.,S.D.
 Tennessee,State,US-TN,TN,47,TN,TN,Tenn.,Tenn.
 Texas,State,US-TX,TX,48,TX,TX,Tex.,Texas
 Utah,State,US-UT,UT,49,UT,UT,Utah,Utah
 Vermont,State,US-VT,VT,50,VT,VT,Vt.,Vt.
 Virginia,State,US-VA,VA,51,VA,VA,Va.,Va.
 Washington,State,US-WA,WA,53,WA,WN,Wash.,Wash.
 West Virginia,State,US-WV,WV,54,WV,WV,W. Va.,W.Va.
 Wisconsin,State,US-WI,WI,55,WI,WS,Wis.,Wis.
 Wyoming,State,US-WY,WY,56,WY,WY,Wyo.,Wyo.
 American Samoa,Insular area (Territory),AS,AS,60,AS,AS,A.S.,
 Guam,Insular area (Territory),GU,GU,66,GU,GU,Guam,
 Northern Mariana Islands,Insular area (Commonwealth),MP,MP,69,MP,CM,M.P.,
 Puerto Rico,Insular area (Commonwealth),PR,PR,72,PR,PR,P.R.,
 U.S. Virgin Islands,Insular area (Territory),VI,VI,78,VI,VI,V.I.,
U.S. Minor Outlying Islands,Insular areas,UM,UM,74,,,,
   Baker Island,   island,UM-81,,81,,,,
   Howland Island,   island,UM-84,,84,,,,
   Jarvis Island,   island,UM-86,,86,,,,
   Johnston Atoll,   atoll,UM-67,,67,,,,
   Kingman Reef,   atoll,UM-89,,89,,,,
   Midway Islands,   atoll,UM-71,,71,,,,
   Navassa Island,   island,UM-76,,76,,,,
   Palmyra Atoll[c],   atoll[c],UM-95,,95,,,,
   Wake Island,   atoll,UM-79,,79,,,,
 Micronesia,Freely associated state,FM,FM,64,FM,,,
 Marshall Islands,Freely associated state,MH,MH,68,MH,,,
 Palau,Freely associated state,PW,PW,70,PW,,,
U.S. Armed Forces – Americas[d],US military mail code,,,,AA,,,
U.S. Armed Forces – Europe[e],US military mail code,,,,AE,,,
U.S. Armed Forces – Pacific[f],US military mail code,,,,AP,,,
 Northern Mariana Islands,Obsolete postal code[g],,,,CM,,,
Panama Canal Zone,Obsolete postal code,PZ,,,CZ,,,
 Nebraska,Obsolete postal code[h],,,,NB,,,
Philippine Islands,Obsolete postal code,PH,,,PI,,,
Trust Territory of the Pacific Islands,Obsolete postal code,PC,,,TT,,,
,,PCI,,,,,,